,year,month,unc_h,unc_flu,unc_ta,eps
312,2017.0,1.0,-17.44140625,0.6396484375,0.7705078125,0.964
313,2017.0,1.0,-13.02734375,0.6396484375,0.7705078125,0.962
314,2017.0,1.0,-17.44140625,-2.5537109375,0.7705078125,0.958
315,2017.0,1.0,-17.44140625,0.6396484375,0.8134765625,0.964
316,2017.0,1.0,-17.44140625,-2.5537109375,0.8134765625,0.956
317,2017.0,1.0,-13.02734375,0.6396484375,0.8134765625,0.962
318,2017.0,1.0,-13.02734375,-2.5537109375,0.7705078125,0.956
319,2017.0,1.0,-13.02734375,-2.5537109375,0.8134765625,0.956
320,2017.0,1.0,-16.19140625,-4.0478515625,-0.9169921875,0.976
321,2017.0,1.0,13.22265625,-4.0478515625,-0.9169921875,0.964
322,2017.0,1.0,-16.19140625,2.7587890625,-0.9169921875,0.99
323,2017.0,1.0,-16.19140625,-4.0478515625,-0.7490234375,0.974
324,2017.0,1.0,-16.19140625,2.7587890625,-0.7490234375,0.988
325,2017.0,1.0,13.22265625,-4.0478515625,-0.7490234375,0.962
326,2017.0,1.0,13.22265625,2.7587890625,-0.9169921875,0.98
327,2017.0,1.0,13.22265625,2.7587890625,-0.7490234375,0.978
328,2017.0,1.0,3.80859375,0.9521484375,0.0830078125,0.966
329,2017.0,1.0,-6.77734375,0.9521484375,0.0830078125,0.97
330,2017.0,1.0,3.80859375,-2.2412109375,0.0830078125,0.958
331,2017.0,1.0,3.80859375,0.9521484375,0.2509765625,0.964
332,2017.0,1.0,3.80859375,-2.2412109375,0.2509765625,0.956
333,2017.0,1.0,-6.77734375,0.9521484375,0.2509765625,0.968
334,2017.0,1.0,-6.77734375,-2.2412109375,0.0830078125,0.962
335,2017.0,1.0,-6.77734375,-2.2412109375,0.2509765625,0.96
336,2017.0,1.0,13.80859375,-1.5478515625,-0.4169921875,0.964
337,2017.0,1.0,3.22265625,-1.5478515625,-0.4169921875,0.968
338,2017.0,1.0,13.80859375,-4.7412109375,-0.4169921875,0.956
339,2017.0,1.0,13.80859375,-1.5478515625,0.7509765625,0.948
340,2017.0,1.0,13.80859375,-4.7412109375,0.7509765625,0.942
341,2017.0,1.0,3.22265625,-1.5478515625,0.7509765625,0.952
342,2017.0,1.0,3.22265625,-4.7412109375,-0.4169921875,0.96
343,2017.0,1.0,3.22265625,-4.7412109375,0.7509765625,0.946
344,2017.0,1.0,-6.19140625,3.4521484375,0.5830078125,0.968
345,2017.0,1.0,-16.77734375,3.4521484375,0.5830078125,0.972
346,2017.0,1.0,-6.19140625,0.2587890625,0.5830078125,0.962
347,2017.0,1.0,-6.19140625,3.4521484375,-0.2490234375,0.98
348,2017.0,1.0,-6.19140625,0.2587890625,-0.2490234375,0.972
349,2017.0,1.0,-16.77734375,3.4521484375,-0.2490234375,0.984
350,2017.0,1.0,-16.77734375,0.2587890625,0.5830078125,0.966
351,2017.0,1.0,-16.77734375,0.2587890625,-0.2490234375,0.976
352,2017.0,1.0,-1.19140625,-0.2978515625,0.3330078125,0.962
353,2017.0,1.0,-11.77734375,-0.2978515625,0.3330078125,0.966
354,2017.0,1.0,-1.19140625,1.5087890625,0.3330078125,0.966
355,2017.0,1.0,-1.19140625,-0.2978515625,-0.9990234375,0.98
356,2017.0,1.0,-1.19140625,1.5087890625,-0.9990234375,0.984
357,2017.0,1.0,-11.77734375,-0.2978515625,-0.9990234375,0.984
358,2017.0,1.0,-11.77734375,1.5087890625,0.3330078125,0.97
359,2017.0,1.0,-11.77734375,1.5087890625,-0.9990234375,0.986
360,2017.0,1.0,18.80859375,4.7021484375,-0.6669921875,0.978
361,2017.0,1.0,8.22265625,4.7021484375,-0.6669921875,0.982
362,2017.0,1.0,18.80859375,-3.4912109375,-0.6669921875,0.96
363,2017.0,1.0,18.80859375,4.7021484375,0.0009765625,0.97
364,2017.0,1.0,18.80859375,-3.4912109375,0.0009765625,0.952
365,2017.0,1.0,8.22265625,4.7021484375,0.0009765625,0.974
366,2017.0,1.0,8.22265625,-3.4912109375,-0.6669921875,0.964
